ad_ref,assembly,body,ad_city,color,engine_cc,fuel_type,make,mileage,model,registered,transmission,year,price
7929887,,Hatchback,Tibba,Graphite Grey,796,Petrol,Suzuki,55000,Mehran,Karachi,Manual,1905,1000000
7929883,,Hatchback,Sargodha,White,800,Petrol,Daihatsu,96000,Cuore,Lahore,Manual,1905,850000
7929889,Imported,Sedan,Peshawar,Super White,1500,Petrol,Toyota,208540,Prius,Lahore,Automatic,1905,3090000
7929888,,Sedan,Karachi,Aztec Green Pearl,1500,Petrol,Honda,100000,Civic,Karachi,Manual,1905,520000
7801666,,Crossover,Sialkot,Cherry Black,1368,Petrol,KIA,32000,Stonic,Punjab,Automatic,1905,5700000
7929893,,Hatchback,Rawalpindi,Solid White,660,Petrol,Suzuki,23000,Alto,Islamabad,Manual,1905,2400000
7929596,,Sedan,Daharki,White,1300,Petrol,Toyota,99999,Corolla,Sindh,Manual,1905,1850000
7929895,,Sedan,Islamabad,Silver Metallic,1300,Petrol,Toyota,85000,Corolla,Lahore,Manual,1905,4150000
7929898,,,Lahore,Silver,1600,Petrol,Honda,100,Civic,Lahore,Manual,1905,740000
7929899,,Hatchback,Pasrur,Solid White,1000,Petrol,Suzuki,1800,Wagon,Un-Registered,Manual,,3450000
7929903,Imported,,Gujrat,Purple,1500,Hybrid,Toyota,119000,Aqua,Islamabad,Automatic,1905,4500000
7929906,,Hatchback,Chakwal,Solid White,1000,Petrol,Suzuki,32000,Wagon,Punjab,Manual,1905,2710000
7540066,,Sedan,Lahore,Silver,1800,Petrol,Toyota,72000,Corolla,Islamabad,Automatic,1905,3290000
7782796,Imported,Hatchback,Mian,Grey,1000,Petrol,Toyota,70000,Vitz,Sindh,Automatic,1905,2345000
7919271,,Sedan,Gujranwala,Black,1300,Petrol,Toyota,250000,Corolla,Lahore,Manual,1905,2799000
7929911,,Sedan,Lahore,White,1300,Petrol,Toyota,89000,Corolla,Lahore,Manual,1905,3045000
7750906,,Sedan,Lahore,Silver,1500,Petrol,Toyota,39616,Yaris,Lahore,Automatic,1905,4950000
7803455,Imported,Crossover,Lahore,Navy,1500,Petrol,Honda,38682,Vezel,Lahore,Automatic,1905,6800000
7895162,,Sedan,Lahore,Cosmic Red,1500,Petrol,Changan,28428,Alsvin,Lahore,Automatic,1905,3990000
7802751,,Hatchback,Lahore,Mercury Blue,998,Petrol,KIA,7302,Picanto,Lahore,Automatic,1905,3400000
7850776,,SUV,Lahore,Attitude Black,2700,Petrol,Toyota,71055,Fortuner,Lahore,Automatic,1905,12800000
7926098,,Sedan,Nowshera,Super White,1600,Petrol,Toyota,46000,Corolla,Islamabad,Automatic,1905,5600000
7858616,Imported,SUV,Lahore,Alpine White,3000,Diesel,BMW,95762,X5,Islamabad,Automatic,1905,8500000
7929855,,Hatchback,Karachi,Maroon,1000,Petrol,Suzuki,151000,Alto,Karachi,Manual,1905,900000
7929856,,Sedan,Multan,White,1300,Petrol,Honda,45000,City,Lahore,Manual,1905,3800000
7929857,Imported,Sedan,Mardan,Maroon,1600,Petrol,Toyota,50000,Corolla,Lahore,Automatic,1905,1250000
7929858,,Sedan,Rahim,Silver,1300,Petrol,Honda,55000,City,Sindh,Automatic,1905,3850000
7539641,,SUV,Lahore,Black,2800,Diesel,Toyota,23762,Fortuner,Punjab,Automatic,1905,19000000
7929859,,Sedan,Multan,White,1800,Petrol,Honda,70000,Civic,Islamabad,Automatic,1905,5150000
7929860,,Hatchback,Okara,Graphite Grey,1000,Petrol,Suzuki,142000,Wagon,Punjab,Manual,1905,1880000
7929862,,Hatchback,Faisalabad,Solid White,1000,Petrol,Suzuki,100750,Wagon,Lahore,Manual,1905,2200000
7929867,,Hatchback,Islamabad,Graphite Grey,1000,Petrol,Suzuki,113000,Cultus,Islamabad,Manual,1905,2500000
7929864,,Sedan,Faisalabad,Modern Steel Metallic,1300,Petrol,Honda,110000,City,Faisalabad,Manual,1905,2265000
7929869,,,Attock,Maroon,800,Petrol,Suzuki,17,Khyber,Punjab,Manual,1905,570000
7929866,,Sedan,Islamabad,,1300,Petrol,Toyota,200000,Corolla,Faisalabad,Manual,1905,2450000
7929870,,Sedan,Wah,Black,1600,Petrol,Toyota,148000,Corolla,Islamabad,Automatic,1905,3650000
7929872,,Hatchback,Lahore,White,1000,Petrol,Suzuki,92786,Cultus,Lahore,Manual,1905,1570000
7929873,,Sedan,Sahiwal,White,1300,Petrol,Toyota,150000,Corolla,Lahore,Manual,1905,1560000
7639784,,Sedan,Faisalabad,,1800,Petrol,Honda,134500,Civic,Lahore,Manual,1905,2290000
7929874,,Sedan,Karachi,Strong Blue,1300,Petrol,Toyota,104000,Corolla,Karachi,Automatic,1905,3550000
7929876,,Hatchback,Karachi,Silver,800,Petrol,Daihatsu,100000,Cuore,Sindh,Manual,1905,1100000
7929878,Imported,Sedan,Rawalpindi,Black,1500,Petrol,Toyota,100000,Corolla,Lahore,Automatic,1905,2400000
7929877,,Van,Rawalpindi,Solid White,800,Petrol,Suzuki,80000,Bolan,Lahore,Manual,1905,1600000
7745122,Imported,,Karachi,Black,1800,Hybrid,Toyota,22223,C-HR,Un-Registered,Automatic,1905,9400000
7929879,,Sedan,Lahore,Crystal Black,1500,Petrol,Honda,210000,Civic,Lahore,Manual,1905,1325000
7929833,,Sedan,Sialkot,Bronze,1800,Petrol,Honda,85000,Civic,Punjab,Automatic,1905,2075000
7929835,,Hatchback,Karachi,Silky Silver,796,Petrol,Suzuki,74000,Mehran,Sindh,Manual,1905,1300000
7929841,,Sedan,Wah,Green,1500,Petrol,Honda,300000,Civic,Lahore,Manual,1905,1000000
7929840,,Sedan,Lahore,Black,1300,Petrol,Toyota,115000,Corolla,Lahore,Manual,1905,1750000
7929839,,Sedan,Karachi,Modern Steel Metallic,1500,Petrol,Honda,31000,City,Karachi,Automatic,1905,3980000
7929358,Imported,Hatchback,Gujranwala,White,660,Petrol,Daihatsu,16500,Move,Un-Registered,Automatic,1905,3950000
7862998,Imported,Crossover,Islamabad,White,1500,Petrol,MG,15000,HS,Islamabad,Automatic,1905,7500000
7929844,,Hatchback,Islamabad,Silver,1000,Petrol,Hyundai,100000,Santro,Peshawar,Automatic,1905,825000
7929845,,Hatchback,Bahawalpur,White,1000,Petrol,Suzuki,33000,Cultus,Punjab,Manual,1905,4000000
7886889,,SUV,Lahore,Attitude Black,2700,Petrol,Toyota,90000,Fortuner,Islamabad,Automatic,1905,11800000
7929846,,Sedan,Mandi,White,1300,Petrol,Toyota,865120,Corolla,Lahore,Manual,1905,3649000
7617302,Imported,Hatchback,Karachi,Silver,660,Petrol,Daihatsu,80000,Mira,Sindh,Automatic,1905,2450000
7929843,,Sedan,Multan,Black,1800,Petrol,Honda,81000,Civic,Lahore,Automatic,1905,5350000
7929848,Imported,Micro Van,Lahore,White,660,Petrol,Suzuki,120000,Every,Punjab,Automatic,1905,1785000
7929853,,Crossover,Jhelum,Sparkling Silver,1368,Petrol,KIA,13000,Stonic,Islamabad,Automatic,1905,5600000
7929854,,Sedan,Multan,White,1800,Petrol,Honda,80000,Civic,Lahore,Automatic,1905,3650000
7929852,,Hatchback,Islamabad,Dark Blue,800,Petrol,Suzuki,120000,FX,Lahore,Manual,,310000
7803237,Imported,,Karachi,Black,660,Petrol,Suzuki,83954,Every,Un-Registered,Automatic,1905,3950000
7802717,Imported,,Karachi,Brown,660,Hybrid,Suzuki,2160,Wagon,Un-Registered,Automatic,1905,4150000
7793735,,SUV,Lahore,Attitude Metallic,3500,Petrol,Toyota,100,Land,Un-Registered,Automatic,1905,99500000
7802612,Imported,,Karachi,,1500,Hybrid,Toyota,59205,Sienta,Un-Registered,Automatic,1905,7100000
7802697,Imported,,Karachi,Black,660,Petrol,Daihatsu,23239,Mira,Un-Registered,Automatic,1905,3950000
7802734,Imported,,Karachi,Black,660,Hybrid,Suzuki,6886,Wagon,Un-Registered,Automatic,1905,4100000
7802483,Imported,,Karachi,,660,Petrol,Suzuki,46172,Every,Un-Registered,Automatic,1905,4100000
7911550,Imported,Sedan,Lahore,White,1500,Petrol,Mitsubishi,90000,Lancer,Lahore,Automatic,1905,2200000
7929815,Imported,Hatchback,Peshawar,Silver,1300,Petrol,Toyota,165000,Vitz,Lahore,Automatic,1905,2050000
7879991,Imported,,Gujranwala,Orange,660,Petrol,Nissan,6000,Dayz,Un-Registered,Automatic,1905,3775000
7929816,,Sedan,Karachi,White,1300,Petrol,Toyota,76453,Corolla,Karachi,Automatic,1905,3600000
7396897,,Sedan,Islamabad,Black,1300,Petrol,Honda,123000,City,Islamabad,Manual,1905,900000
7929819,,,Islamabad,Silver,1500,Petrol,Honda,67500,BR-V,Islamabad,Automatic,1905,4900000
7929821,,Sedan,Islamabad,Silver,1800,Petrol,Honda,45000,Civic,Islamabad,Automatic,1905,5900000
7929818,Imported,Hatchback,Rawalpindi,Black,660,Petrol,Suzuki,95000,Wagon,Lahore,Automatic,1905,1950000
7769660,Imported,Hatchback,Islamabad,,1000,Petrol,Toyota,100000,Vitz,Islamabad,Automatic,1905,3950000
7929824,,Sedan,Islamabad,White,1300,Petrol,Honda,84000,City,Islamabad,Manual,1905,3500000
7929830,,Sedan,Lahore,Super White,1598,Petrol,Toyota,48000,Corolla,Punjab,Automatic,1905,5300000
7929828,,,New,White,660,Petrol,Suzuki,100000,Other,Karachi,Manual,1905,1320000
7929831,,Hatchback,Hyderabad,Graphite Grey,1000,Petrol,Suzuki,176000,Wagon,Sindh,Manual,1905,1880000
7885408,,Hatchback,Karachi,Grey,1300,Petrol,Suzuki,30000,Swift,Karachi,Automatic,1905,2900000
7712141,Imported,Hatchback,Karachi,Orange,1500,Hybrid,Toyota,65000,Aqua,Sindh,Automatic,1905,4000000
7922063,Imported,,Karachi,,1000,Petrol,Toyota,17425,Yaris,Un-Registered,Automatic,1905,5200000
7922148,Imported,,Karachi,Silver,660,Petrol,Daihatsu,23804,Mira,Un-Registered,Automatic,1905,3950000
7922122,Imported,,Karachi,Silver,660,Petrol,Daihatsu,3570,Mira,Un-Registered,Automatic,1905,4100000
7921989,Imported,,Karachi,Grey,1500,Hybrid,Honda,72863,Freed,Un-Registered,Automatic,1905,6900000
7922043,Imported,,Karachi,Black,660,Hybrid,Suzuki,15283,Wagon,Un-Registered,Automatic,1905,4150000
7803619,Imported,,Karachi,Black,1500,Hybrid,Toyota,24060,Aqua,Un-Registered,Automatic,1905,6800000
7803259,Imported,,Karachi,,1000,Petrol,Toyota,39727,Yaris,Un-Registered,Automatic,1905,5250000
7803316,Imported,,Karachi,,1800,Hybrid,Toyota,30791,C-HR,Un-Registered,Automatic,1905,9600000
7803385,Imported,,Karachi,Silver,1800,Hybrid,Toyota,7982,C-HR,Un-Registered,Automatic,1905,9500000
7803361,Imported,,Karachi,,1800,Hybrid,Toyota,31190,C-HR,Un-Registered,Automatic,1905,9800000
7803208,Imported,,Karachi,,1000,Petrol,Toyota,32442,Raize,Un-Registered,Automatic,1905,6800000
7929016,,Sedan,Rawalpindi,White,1300,Petrol,Toyota,92400,Corolla,Islamabad,Manual,1905,
7922031,Imported,,Karachi,Silver,1800,Hybrid,Toyota,20200,C-HR,Un-Registered,Automatic,1905,9400000
7929790,,Hatchback,Rawalpindi,Snow White Pearl,800,Petrol,Suzuki,200000,Mehran,Rawalpindi,Manual,1905,550000
7929794,Imported,Hatchback,Quetta,Super White II,996,Petrol,Toyota,28000,Vitz,Karachi,Automatic,1905,4800000
7929795,Imported,SUV,Rawalpindi,Blue,3000,Diesel,Toyota,150000,Prado,Islamabad,Automatic,1905,4750000
7929793,,Hatchback,Lahore,Silver,1000,Petrol,Suzuki,850000,Cultus,Lahore,Manual,1905,620000
7929798,,Sedan,Sargodha,Grey,1300,Petrol,Honda,98000,City,Islamabad,Manual,1905,3380000
7929796,,Hatchback,Abbottabad,Solid White,660,Petrol,Suzuki,116000,Alto,Karachi,Manual,1905,2200000
7929797,,Hatchback,Wah,White,1300,Petrol,Suzuki,131000,Swift,Islamabad,Manual,1905,1915000
7907631,,Hatchback,Karachi,Mercury Blue,998,Petrol,KIA,40000,Picanto,Karachi,Automatic,1905,2750000
7929800,,Mini Van,Shah,Black,1000,Petrol,Changan,100000,Karvaan,Punjab,Manual,1905,2350000
7929801,Imported,,Swabi,Gold,1500,Petrol,Toyota,150000,Corolla,Islamabad,Automatic,1905,3150000
7929477,,Sedan,Karachi,Super White,1600,Petrol,Toyota,78000,Corolla,Karachi,Automatic,1905,4185000
7929804,,Hatchback,Karachi,Solid White,1000,Petrol,Suzuki,120000,Alto,Karachi,Manual,1905,625000
7929805,,Hatchback,Karachi,Solid White,1000,Petrol,Suzuki,81000,Cultus,Karachi,Manual,1905,1215000
7929807,,Compact sedan,Nankana,Taffeta White,1497,Petrol,Honda,4000,City,Un-Registered,Automatic,,5800000
7929806,Imported,Hatchback,Islamabad,Blue,1200,Petrol,Suzuki,13800,Swift,Karachi,Automatic,1905,1745000
7929809,Imported,Hatchback,Islamabad,,660,Petrol,Daihatsu,88000,Mira,Islamabad,Automatic,1905,2200000
7548534,,SUV,Karachi,Green,3000,Diesel,Toyota,50000,Prado,Sindh,Automatic,1905,4200000
7929802,,Sedan,Lahore,White,1500,Petrol,Honda,105000,City,Punjab,Manual,1905,3750000
7929812,,Hatchback,Bahawalpur,Solid White,1000,Petrol,Suzuki,55000,Wagon,Punjab,Manual,1905,2600000
7929811,Imported,Hatchback,Peshawar,White,660,Petrol,Suzuki,1,Alto,Peshawar,Automatic,1905,965000
7929813,,Hatchback,Lahore,White,1000,Petrol,Suzuki,38000,Wagon,Punjab,Manual,1905,2800000
7857669,Imported,Micro Van,Gujranwala,Silver,660,Petrol,Suzuki,50000,Every,Un-Registered,Automatic,1905,2675000
7857662,Imported,,Gujranwala,Silver,660,Petrol,Nissan,35000,Dayz,Un-Registered,Automatic,1905,3650000
7810618,Imported,,Karachi,Green,1000,Petrol,Toyota,17338,Passo,Un-Registered,Automatic,1905,4500000
7810534,Imported,,Karachi,Silver,1000,Petrol,Toyota,18925,Yaris,Un-Registered,Automatic,1905,5200000
7832495,,Mini Van,Lahore,White,1000,Petrol,Changan,32884,Karvaan,Lahore,Manual,1905,2290000
7929203,Imported,SUV,Toba,Blue,3000,Diesel,Toyota,160000,Prado,Lahore,Automatic,1905,8800000
7929765,,Sedan,Gujranwala,Crystal Black,1800,Petrol,Honda,125000,Civic,Lahore,Automatic,1905,2020000
7929186,Imported,,Abbottabad,White,1000,Petrol,Suzuki,999999,Khyber,Rawalpindi,Manual,,360000
7929197,,Sedan,Islamabad,Silver,1500,Petrol,Honda,43500,City,Islamabad,Automatic,1905,4270000
7929769,,Sedan,Lahore,Silver,1800,Petrol,Honda,30000,Civic,Lahore,Automatic,1905,6550000
7929767,,Sedan,Islamabad,Crystal Black,1300,Petrol,Honda,270000,City,Islamabad,Manual,1905,1850000
7929770,,Hatchback,Karachi,Blue,1000,Petrol,Suzuki,100000,Cultus,Sindh,Manual,1905,730000
7929099,,Sedan,Lahore,Silver,1300,Petrol,Honda,123456,City,Lahore,Manual,1905,900000
7929772,Imported,Hatchback,Islamabad,Turquoise,1000,Petrol,Toyota,149631,Passo,Islamabad,Automatic,1905,1850000
7929777,,SUV,Karachi,Aqua Silver,1999,Petrol,Hyundai,32000,Tucson,Karachi,Automatic,1905,
7929776,,Sedan,Gujranwala,White,1300,Petrol,Honda,150000,City,Sindh,Manual,1905,780000
7929775,,Hatchback,Karachi,Snow White Pearl,800,Petrol,Suzuki,1000,Mehran,Sindh,Manual,1905,490000
7929773,,Sedan,Sialkot,Super white,1798,Petrol,Toyota,24000,Corolla,Islamabad,Automatic,1905,6300000
7929778,,Sedan,Faisalabad,Taffeta White,1500,Petrol,Honda,96000,City,Faisalabad,Manual,1905,3300000
7929631,,Sedan,Hyderabad,Silver,1300,Petrol,Toyota,130000,Corolla,Karachi,Manual,1905,2000000
7929783,Imported,,Islamabad,Blue,660,Petrol,Daihatsu,137000,Mira,Islamabad,Automatic,1905,2560000
7929781,,Sedan,Karachi,Dorado Gold,1300,Petrol,Toyota,84000,Corolla,Karachi,Manual,1905,3400000
7929785,,Hatchback,Lahore,Solid White,1000,Petrol,Suzuki,86000,Cultus,Lahore,Manual,1905,850000
7929784,,Sedan,Karachi,Gold,1300,Petrol,Toyota,75000,Corolla,Karachi,Manual,1905,2400000
7929786,Imported,Station Wagon,Karachi,Silver,1500,Petrol,Nissan,139000,Wingroad,Karachi,Automatic,1905,2000000
7929787,,Hatchback,Multan,White,660,Petrol,Suzuki,70000,Alto,Multan,Manual,1905,2170000
7929789,,Sedan,Lahore,Silky Silver,1800,Petrol,Honda,167000,Civic,Punjab,Manual,1905,1800000
7909760,Imported,Hatchback,Lahore,Blue,1000,Petrol,Toyota,138163,Vitz,Lahore,Automatic,1905,3175000
7900643,,Sedan,Karachi,Maroon,1300,Petrol,Honda,210000,City,Sindh,Manual,1905,750000
7928905,,Sedan,Mirpur,Bronze,1500,Petrol,Honda,296000,Civic,Mirpur A.K.,Manual,1905,1700000
7908034,Imported,Sedan,Lahore,,1500,Petrol,Toyota,64823,Corolla,Un-Registered,Automatic,1905,7000000
7929737,,Hatchback,Lahore,Black,1000,Petrol,KIA,7000,Picanto,Punjab,Automatic,1905,3250000
7858368,,Sedan,Lahore,Silver,1999,Petrol,Hyundai,23331,Elantra,Lahore,Automatic,1905,6800000
7929740,,Sedan,Karachi,Grey Graphite,1300,Petrol,Toyota,87600,Corolla,Karachi,Manual,1905,2900000
7627966,,Sedan,Faisalabad,White,1300,Petrol,Toyota,585000,Corolla,Lahore,Manual,1905,1900000
7929748,,Sedan,Islamabad,Black,1300,Petrol,Toyota,150000,Corolla,Lahore,Automatic,1905,1450000
7929721,,Hatchback,Karachi,Grey,996,Petrol,Toyota,63000,Yaris,Un-Registered,Automatic,1905,5050000
7929745,Imported,SUV,Hazro,Silver,660,Petrol,Daihatsu,1000,Terios,Sialkot,Manual,1905,1850000
7929736,,Hatchback,Sahiwal,Silver,1000,Petrol,Suzuki,32000,Cultus,Lahore,Manual,1905,750000
7929749,,Hatchback,Lahore,Snow White Pearl,800,Petrol,Suzuki,85000,Mehran,Lahore,Manual,1905,625000
7929751,,,Islamabad,White,1300,Petrol,Suzuki,140910,Baleno,Lahore,Manual,1905,800000
7891055,,Hatchback,Karachi,Grey,660,Petrol,Suzuki,15000,Alto,Karachi,Automatic,1905,2790000
7929752,,Pick Up,Islamabad,Solid White,800,Petrol,Suzuki,20000,Ravi,Rawalpindi,Manual,1905,1300000
7929635,,Compact sedan,Lahore,,1497,Petrol,Honda,875,City,Lahore,Automatic,,5850000
7929742,,Sedan,Lahore,Super White,1600,Petrol,Toyota,75000,Corolla,Lahore,Automatic,1905,4875000
7929744,,Hatchback,Faisalabad,Silver,1300,Petrol,FAW,93000,V2,Faisalabad,Manual,1905,1450000
7929754,Imported,,Peshawar,White,660,Petrol,Suzuki,77000,Alto,Islamabad,Automatic,1905,3060000
7929753,,Hatchback,Lahore,Silver,800,Petrol,Suzuki,72000,Mehran,Punjab,Manual,1905,1225000
7929758,,Sedan,Lahore,Gold,1300,Petrol,Suzuki,100,Baleno,Karachi,Manual,1905,1150000
7929759,,Hatchback,Lahore,Silky Silver,1000,Petrol,Suzuki,20000,Cultus,Lahore,Manual,1905,3250000
7929251,,Sedan,Wah,Black Mica,1300,Petrol,Toyota,65000,Corolla,Islamabad,Manual,1905,2650000
7929651,,Hatchback,Lahore,White,800,Petrol,Suzuki,66000,Mehran,Lahore,Manual,1905,1130000
7929760,,Sedan,Lala,Crystal Black Pearl,1300,Petrol,Honda,228000,City,Lahore,Manual,1905,240000
7929212,,Mini Van,Faisalabad,White,800,Petrol,Suzuki,45800,Bolan,Faisalabad,Manual,1905,750000
7929763,,Sedan,Karachi,White,1300,Petrol,Toyota,84000,Corolla,Sindh,Manual,1905,2930000
7929764,,Sedan,Karachi,Silver Metallic,1598,Petrol,Toyota,21000,Corolla,Karachi,Automatic,1905,5600000
7765742,,SUV,Lahore,Fery Red,1999,Petrol,KIA,36631,Sportage,Lahore,Automatic,1905,7200000
7929709,Imported,Compact SUV,Islamabad,White,1500,Hybrid,Haval,1,H6,Un-Registered,Automatic,,13400000
7929710,,Hatchback,Karachi,Solid White,1300,Petrol,Suzuki,22000,Swift,Sindh,Automatic,1905,3150000
7588016,Imported,,Karachi,White,2000,Petrol,Mazda,112000,Bongo,Karachi,Automatic,1905,1850000
