Age,Income,Score,Experience,Purchases_Last_Year,Gender,Product_Type,Purchased
49,61555,65,31,39,Male,Books,1
56,66959,83,9,11,Female,Books,0
66,20728,91,15,35,Male,Food,0
69,70517,74,6,44,Male,Food,1
49,139180,3,16,22,Male,Clothing,1
21,86234,78,22,46,Other,Electronics,1
47,59954,5,25,30,Female,Books,0
54,67280,93,20,10,Female,Books,0
40,99459,50,21,9,Female,Electronics,1
56,36779,61,6,2,Male,Books,1
62,83932,56,13,13,Female,Food,0
32,92936,65,14,15,Male,Food,1
60,44466,78,6,9,Female,Books,0
46,56939,74,8,28,Male,Food,1
53,89896,7,7,9,Female,Food,0
30,55270,25,22,11,Male,Books,0
49,79163,50,28,29,Male,Clothing,0
24,102637,44,17,40,Female,Electronics,1
68,71934,43,30,0,Male,Food,0
39,84895,4,29,4,Male,Clothing,0
45,52307,69,38,19,Male,Food,0
19,74098,25,34,7,Male,Food,1
59,80921,67,17,42,Female,Electronics,1
62,25486,18,38,11,Female,Food,0
23,28335,83,16,0,Female,Electronics,1
45,106900,96,13,19,Female,Electronics,1
45,146020,19,30,27,Male,Electronics,1
61,141954,11,23,42,Female,Clothing,1
61,122795,46,34,36,Male,Books,0
37,109112,0,33,46,Male,Clothing,0
47,117203,89,2,36,Female,Books,0
28,31130,13,36,11,Male,Books,0
45,107508,63,39,36,Female,Electronics,0
42,125955,37,25,48,Male,Food,1
56,138324,36,22,48,Female,Electronics,1
50,80566,10,38,43,Female,Food,1
18,86703,99,14,27,Female,Books,0
44,47192,76,3,46,Female,Electronics,0
69,21062,2,28,14,Female,Food,0
30,104076,32,21,5,Male,Clothing,0
58,109780,5,24,43,Female,Food,1
20,41545,49,12,19,Male,Electronics,1
56,41689,9,17,49,Female,Clothing,0
23,31174,4,32,13,Female,Food,0
25,108461,22,15,1,Female,Food,1
44,146174,9,1,8,Male,Food,1
26,123033,43,34,36,Male,Food,1
54,29348,1,33,19,Female,Food,0
50,43714,12,29,25,Male,Clothing,0
68,58102,39,12,28,Male,Books,0
59,94460,1,12,0,Male,Clothing,0
61,122634,83,17,34,Female,Clothing,1
41,109930,64,31,5,Female,Clothing,1
32,26801,62,31,36,Male,Books,1
49,123150,72,34,4,Male,Electronics,0
49,92267,16,38,32,Male,Books,0
41,68136,8,28,48,Female,Clothing,1
58,43625,74,28,13,Female,Food,0
69,102873,14,15,11,Male,Food,0
66,120843,23,9,41,Male,Clothing,1
66,92592,37,29,19,Male,Food,0
69,97052,34,24,49,Female,Clothing,1
29,64261,93,38,23,Female,Food,0
56,21542,94,19,42,Male,Books,1
19,41677,48,4,33,Male,Electronics,0
20,66732,68,0,24,Male,Electronics,1
66,70343,61,29,49,Other,Books,1
54,59081,59,2,28,Male,Books,0
66,82856,49,13,38,Female,Clothing,1
34,113105,77,29,30,Female,Clothing,0
66,108858,74,3,46,Male,Clothing,0
19,39065,8,17,42,Male,Food,0
19,144097,33,36,49,Male,Clothing,0
45,103460,75,24,22,Female,Books,1
40,108092,98,0,43,Female,Electronics,1
54,146116,34,14,37,Female,Food,1
49,74693,0,8,19,Female,Clothing,0
50,46962,39,14,22,Male,Food,1
18,48295,63,23,44,Other,Food,1
36,33807,21,3,15,Female,Clothing,0
19,62348,59,11,49,Male,Food,0
61,46432,63,36,41,Other,Electronics,0
43,103285,92,36,7,Female,Books,0
49,126995,71,5,49,Female,Books,1
23,111792,10,38,20,Female,Electronics,0
49,77854,13,23,0,Female,Food,0
21,60262,59,10,7,Female,Clothing,1
28,57080,29,12,28,Male,Food,0
34,21324,34,33,31,Male,Electronics,0
55,111267,84,24,37,Female,Food,1
41,144707,36,6,4,Male,Books,0
22,55909,4,3,46,Male,Food,1
69,109339,82,7,21,Male,Electronics,0
51,39870,77,19,46,Male,Books,0
23,54578,25,28,33,Female,Food,0
39,92124,61,9,0,Female,Food,1
28,137611,3,33,25,Male,Books,1
65,123605,88,25,42,Male,Clothing,1
33,46790,41,2,9,Male,Books,0
50,138874,88,5,29,Female,Clothing,1
26,45289,17,4,49,Female,Electronics,0
23,75129,39,4,17,Male,Electronics,1
33,113714,71,22,16,Female,Books,1
46,114246,38,8,25,Female,Books,0
20,35485,13,34,7,Female,Electronics,0
37,64482,31,19,46,Female,Clothing,0
53,106188,50,34,39,Male,Electronics,1
36,24748,37,17,48,Female,Books,0
43,106769,96,16,11,Male,Electronics,1
20,29435,22,23,26,Female,Books,0
36,23709,62,2,7,Female,Books,0
37,143961,14,31,24,Female,Electronics,0
49,50355,96,34,45,Female,Clothing,1
24,75771,24,37,3,Male,Food,0
69,77799,16,12,32,Female,Electronics,1
58,33116,96,24,0,Other,Food,1
50,45470,65,8,18,Female,Electronics,0
57,62344,77,3,30,Male,Food,1
56,62918,52,13,15,Male,Clothing,0
35,72224,50,36,13,Male,Clothing,1
57,59298,38,33,47,Female,Electronics,0
18,128492,50,10,4,Female,Books,0
28,100219,69,2,40,Male,Food,0
45,81629,5,27,25,Female,Books,0
42,86040,66,28,27,Female,Books,0
67,119518,6,8,1,Female,Books,0
40,119835,50,2,49,Female,Clothing,0
48,48016,71,24,5,Female,Electronics,1
47,43960,41,33,8,Female,Electronics,1
59,53591,63,11,32,Male,Clothing,0
52,102848,14,8,40,Female,Clothing,0
24,123333,28,14,24,Female,Electronics,0
33,131732,32,39,47,Female,Books,0
43,134821,93,24,12,Female,Food,1
65,87641,26,4,8,Female,Food,0
69,56395,35,10,12,Male,Food,1
66,131276,28,33,30,Male,Books,0
19,149695,37,23,40,Male,Electronics,0
18,42700,56,14,10,Male,Clothing,1
65,54620,96,37,3,Female,Electronics,0
29,123214,26,7,33,Other,Books,0
22,148148,54,4,37,Male,Clothing,1
54,40559,32,25,45,Male,Books,0
49,113045,67,17,3,Female,Food,0
26,113396,85,5,37,Male,Food,1
58,81642,65,36,18,Female,Books,1
52,96539,9,12,5,Female,Clothing,0
36,41732,4,27,33,Female,Clothing,1
65,148675,73,4,17,Male,Electronics,1
33,111362,96,12,12,Male,Food,1
20,50354,37,16,40,Female,Electronics,0
37,33843,12,39,22,Female,Electronics,0
41,130008,30,31,18,Male,Books,1
50,134065,46,28,44,Female,Books,1
41,91726,99,2,10,Male,Electronics,1
69,37640,87,39,0,Female,Food,0
28,72528,51,33,23,Male,Books,0
66,58413,55,39,6,Female,Electronics,1
25,148142,14,26,24,Male,Electronics,0
53,72638,28,12,20,Male,Electronics,0
55,72736,7,32,14,Male,Electronics,0
57,127892,4,5,0,Male,Electronics,0
37,130133,28,23,11,Female,Electronics,0
52,126357,46,18,6,Other,Books,1
65,88866,67,15,14,Male,Food,0
42,39087,75,39,20,Male,Electronics,0
52,61430,44,27,18,Female,Clothing,0
42,44504,1,32,28,Female,Books,0
46,27114,26,12,24,Female,Books,0
35,98859,94,24,32,Male,Electronics,1
63,119657,35,35,48,Male,Books,1
35,30975,35,26,31,Female,Electronics,0
19,31023,25,37,48,Male,Food,0
52,41447,42,6,34,Female,Food,1
33,110469,26,4,43,Male,Books,0
58,145899,68,30,37,Female,Books,0
53,43959,19,22,25,Male,Clothing,0
50,86203,10,9,10,Female,Books,0
21,139156,73,31,34,Female,Clothing,1
50,49703,37,29,7,Female,Food,0
31,29337,5,38,45,Male,Food,0
38,66427,71,30,13,Female,Electronics,1
65,141507,22,17,9,Female,Food,0
37,81529,46,35,1,Female,Clothing,1
25,122023,89,1,45,Female,Books,1
24,104665,45,13,8,Female,Electronics,1
20,125787,11,12,2,Female,Clothing,0
34,51921,89,28,20,Male,Books,1
50,53307,12,11,25,Female,Electronics,0
65,47355,61,38,7,Female,Food,0
29,123268,81,1,47,Male,Clothing,1
68,147016,88,31,1,Male,Books,1
39,24835,96,12,5,Male,Electronics,0
39,40159,59,26,27,Female,Electronics,0
63,124346,42,16,28,Female,Food,1
47,67605,75,39,25,Female,Books,0
55,141790,99,30,24,Female,Food,1
55,125616,67,33,11,Male,Food,1
62,58088,4,23,4,Male,Books,0
68,98752,36,34,33,Male,Books,0
25,75284,71,5,47,Male,Books,0
44,77043,91,18,36,Male,Clothing,1
44,145388,30,29,14,Male,Books,0
51,55547,8,6,43,Female,Electronics,0
38,117007,50,9,35,Female,Food,1
47,102844,28,31,14,Other,Clothing,1
50,47532,77,33,42,Female,Books,0
45,54349,39,27,47,Female,Clothing,0
64,142402,40,14,22,Male,Books,1
50,138012,85,29,5,Female,Clothing,1
22,65445,10,36,45,Female,Food,0
65,25713,22,28,49,Male,Food,0
36,76178,0,21,43,Male,Electronics,0
21,69407,45,3,42,Female,Electronics,0
52,90340,20,19,44,Male,Books,0
66,70990,89,31,20,Female,Food,1
34,95672,35,35,22,Female,Clothing,0
61,149473,53,3,42,Male,Clothing,1
45,85545,86,26,15,Male,Clothing,0
47,104791,56,16,46,Male,Electronics,0
46,78141,0,11,14,Male,Clothing,0
63,43793,62,21,24,Male,Electronics,1
23,76570,53,16,35,Female,Electronics,0
52,115084,54,9,10,Male,Books,0
58,57892,39,0,14,Female,Clothing,0
54,21015,14,21,3,Male,Clothing,0
41,144704,20,25,20,Female,Food,1
46,81813,46,17,12,Male,Books,1
66,47712,72,13,21,Male,Food,1
63,120497,52,28,18,Female,Books,1
48,28415,8,11,33,Female,Clothing,0
52,131854,73,35,13,Male,Electronics,1
50,132816,51,34,3,Female,Electronics,1
69,148778,56,11,47,Male,Electronics,1
38,82292,25,6,45,Female,Electronics,1
49,43833,40,28,26,Male,Electronics,1
40,24158,34,10,28,Male,Food,1
50,82680,62,32,46,Female,Books,0
20,40309,24,5,27,Female,Clothing,0
35,26970,89,14,34,Male,Food,0
42,92474,74,31,7,Female,Books,1
59,106704,37,10,15,Female,Electronics,1
48,66540,1,22,41,Male,Books,0
20,40384,6,25,35,Female,Books,0
57,38017,81,33,29,Male,Electronics,1
63,95880,90,33,17,Female,Electronics,1
41,125570,33,28,1,Female,Electronics,0
67,28702,90,3,48,Female,Clothing,0
49,20384,16,16,12,Male,Electronics,0
64,20404,42,34,3,Male,Clothing,1
39,60943,58,12,25,Male,Electronics,1
40,67926,50,38,24,Male,Clothing,0
19,49189,53,14,29,Male,Books,1
44,32763,23,28,10,Female,Food,0
59,38384,24,28,6,Male,Books,0
19,80100,70,10,30,Male,Books,0
43,118142,51,31,43,Female,Electronics,1
34,29860,69,1,9,Male,Clothing,0
57,124293,87,13,38,Female,Food,0
50,100642,32,19,12,Male,Electronics,1
26,70612,48,21,30,Female,Electronics,0
60,43574,28,10,6,Male,Electronics,0
65,43524,62,26,48,Male,Books,0
56,89172,21,2,41,Female,Clothing,1
46,30916,25,16,41,Male,Clothing,0
59,24809,27,27,35,Female,Food,0
43,52201,84,28,19,Male,Clothing,0
52,73330,48,20,3,Male,Clothing,1
67,33456,70,15,6,Female,Electronics,0
42,133748,80,36,0,Male,Electronics,1
41,76397,83,19,43,Female,Books,0
30,141288,48,5,44,Other,Electronics,1
24,58765,19,18,41,Female,Electronics,0
53,54816,85,4,46,Female,Electronics,0
62,65106,91,2,12,Male,Electronics,1
37,73932,62,0,21,Male,Books,1
18,37100,60,37,20,Male,Electronics,0
25,77091,48,14,21,Female,Food,0
63,41949,70,33,27,Other,Food,0
33,90080,0,34,8,Male,Food,0
31,57744,95,24,25,Female,Food,1
29,65543,12,23,8,Male,Electronics,0
68,128319,93,11,14,Female,Food,1
40,112193,86,17,9,Male,Electronics,0
32,56187,50,14,23,Other,Books,1
45,132734,55,15,41,Female,Food,0
51,27239,82,26,7,Male,Clothing,1
19,144454,61,7,23,Male,Food,0
49,34489,31,24,15,Male,Food,0
40,134937,29,16,48,Male,Electronics,0
39,78017,28,28,25,Male,Food,1
68,81877,48,7,26,Female,Clothing,0
42,63125,44,14,36,Female,Electronics,1
39,69922,92,26,3,Female,Electronics,1
39,114074,29,6,49,Male,Books,1
66,52049,15,2,23,Female,Books,0
69,57131,39,28,18,Female,Food,0
59,62944,18,23,35,Male,Books,0
23,135765,17,2,38,Female,Books,0
32,93963,0,19,9,Female,Books,1
60,126884,77,14,24,Male,Electronics,1
54,145917,46,24,17,Male,Electronics,0
50,44285,65,29,18,Female,Electronics,1
25,57626,91,13,35,Male,Books,0
61,62808,93,6,9,Female,Electronics,0
61,108464,37,16,32,Female,Books,1
22,73871,50,19,49,Female,Electronics,1
56,39198,62,35,4,Male,Electronics,1
21,39758,3,8,46,Male,Clothing,0
23,35254,0,37,48,Female,Food,0
62,64238,7,21,34,Female,Books,0
49,21252,28,1,43,Male,Clothing,0
69,59764,54,23,33,Female,Electronics,1
47,97709,2,7,32,Female,Books,1
64,57441,31,10,20,Male,Electronics,0
52,112234,9,12,16,Male,Food,0
57,73682,73,16,21,Female,Clothing,0
69,79494,82,7,47,Male,Food,1
33,101317,33,20,36,Male,Clothing,1
30,85215,96,17,14,Male,Electronics,1
67,98587,86,29,34,Male,Food,1
59,125185,54,17,27,Female,Food,0
47,26949,91,30,6,Female,Electronics,1
36,127825,31,37,31,Male,Food,0
34,75393,49,31,10,Female,Books,0
36,93553,6,10,9,Female,Clothing,0
45,26941,92,24,8,Female,Clothing,0
43,45934,7,32,13,Male,Clothing,0
54,43386,64,37,12,Male,Books,0
43,145362,56,7,24,Other,Clothing,1
40,81886,66,10,1,Female,Electronics,1
26,95745,87,21,34,Male,Food,1
29,103251,86,23,6,Male,Books,1
18,114456,58,16,20,Male,Clothing,1
18,73413,71,11,17,Female,Electronics,1
64,76800,53,31,2,Female,Food,1
51,117239,66,14,41,Female,Food,0
49,62318,50,15,38,Male,Books,1
65,139803,96,21,40,Female,Books,1
42,90173,91,27,48,Female,Books,0
57,90390,7,19,10,Male,Electronics,0
62,72329,33,32,38,Female,Electronics,0
18,142418,34,9,23,Other,Books,0
